num_scen,algorithm,speed_method,solve_time_sec
1,direct,none,4.372229802
25,ABD,ALPO,9.912581539000001
1,BD,none,7.693719345
25,BD,PO,153.132063391
25,BD,LPO,149.30213487600003
1,BD,ALPO,7.985396101
25,direct,none,141.6566055
1,ABD,PO,1.387720069
1,ABD,none,1.2795304179999998
1,ABD,LPO,1.388431629
25,BD,none,158.320989517
25,BD,ALPO,145.179221289
25,ABD,PO,9.819093483
25,ABD,none,9.884334127
1,ABD,ALPO,1.270869547
25,ABD,LPO,10.103843448000001
1,BD,LPO,8.038090943
1,BD,PO,8.093631487
