prob_cancel,density
1.8589343861105667e-5,2.1927505177582565e-5
4.637534710309754e-5,2.1985163478719884e-5
7.416135034509636e-5,2.204294380031766e-5
1.0194735358708823e-4,2.2100846348812507e-5
1.2973335682908704e-4,2.2158876188309824e-5
1.5751936007108586e-4,2.221703548317059e-5
1.8530536331307773e-4,2.2275317662025976e-5
2.1309136655507654e-4,2.2333722932562854e-5
2.4087736979706842e-4,2.239225150276282e-5
2.6866337303906723e-4,2.245090358090219e-5
2.9644937628106605e-4,2.2509679375551957e-5
3.242353795230579e-4,2.2568579095577655e-5
3.5202138276505673e-4,2.2627602950139665e-5
3.798073860070486e-4,2.268676162781238e-5
4.075933892490474e-4,2.2746046241926184e-5
4.3537939249104624e-4,2.2805455656322585e-5
4.631653957330381e-4,2.2864990081409673e-5
4.909513989750369e-4,2.2924649727889698e-5
5.187374022170288e-4,2.298443480675899e-5
5.465234054590276e-4,2.3044345529307753e-5
5.743094087010264e-4,2.310438210712001e-5
6.020954119430183e-4,2.316454900852958e-5
6.298814151850171e-4,2.3224849950014673e-5
6.57667418427009e-4,2.3285277420185743e-5
6.854534216690078e-4,2.3345831631871004e-5
7.132394249109997e-4,2.3406512798191838e-5
7.410254281529985e-4,2.346732113256268e-5
7.688114313949973e-4,2.35282568486907e-5
7.965974346369892e-4,2.3589320160575704e-5
8.24383437878988e-4,2.3650511282510093e-5
8.521694411209799e-4,2.371184046180162e-5
8.799554443629787e-4,2.3773300059486163e-5
9.077414476049775e-4,2.3834888149236602e-5
9.355274508469694e-4,2.3896604946583227e-5
9.633134540889682e-4,2.3958450667347943e-5
9.9109945733096e-4,2.402042552764374e-5
0.0010188854605729589,2.4082529743874846e-5
0.0010466714638149577,2.4144763532736322e-5
0.0010744574670569496,2.4207130726275664e-5
0.0011022434702989484,2.426963668238996e-5
0.0011300294735409402,2.4332272900753963e-5
0.001157815476782939,2.4395039599293143e-5
0.0011856014800249379,2.44579369962225e-5
0.0012133874832669297,2.4520965310046265e-5
0.0012411734865089286,2.4584124759557845e-5
0.0012689594897509204,2.4647415563839247e-5
0.0012967454929929192,2.4710837942261204e-5
0.001324531496234918,2.4774401663707632e-5
0.00135231749947691,2.4838100419405303e-5
0.0013801035027189087,2.4901931447345853e-5
0.0014078895059609006,2.496589496811949e-5
0.0014356755092028994,2.5029991202603306e-5
0.0014634615124448982,2.5094220371960887e-5
0.0014912475156868901,2.5158582697642076e-5
0.001519033518928889,2.522307840138249e-5
0.0015468195221708808,2.528771063679802e-5
0.0015746055254128796,2.535248649556639e-5
0.0016023915286548784,2.5417396437973568e-5
0.0016301775318968703,2.5482440686963135e-5
0.0016579635351388691,2.5547619465762656e-5
0.001685749538380861,2.5612932997883133e-5
0.0017135355416228598,2.5678381507118815e-5
0.0017413215448648517,2.5743965217546627e-5
0.0017691075481068505,2.5809684353525962e-5
0.0017968935513488493,2.5875548166668987e-5
0.0018246795545908412,2.594155176402252e-5
0.00185246555783284,2.600769150081746e-5
0.0018802515610748319,2.607396760260518e-5
0.0019080375643168307,2.6140380295217376e-5
0.0019358235675588295,2.6206929804765282e-5
0.0019636095708008214,2.6273616357639143e-5
0.00199139557404282,2.6340440180508073e-5
0.002019181577284812,2.640740370479015e-5
0.002046967580526811,2.6474515851276877e-5
0.0020747535837688097,2.654176598894305e-5
0.0021025395870108016,2.660915434563352e-5
0.0021303255902528004,2.6676681149469392e-5
