travel_time_min,origin_id,dest_id
8.3,2,1
7.7,3,1
7.6,4,1
12.7,5,1
8.4,6,1
11.6,7,1
12.8,8,1
14.3,9,1
9.3,10,1
11.6,11,1
13.7,12,1
22.3,13,1
12.3,14,1
13.3,15,1
22,16,1
23.5,17,1
13.8,18,1
12,19,1
11.6,20,1
18,21,1
17.9,22,1
14.9,23,1
14,24,1
14.8,25,1
19.7,26,1
16,27,1
15.2,28,1
20.4,29,1
20.6,30,1
22.3,31,1
19.3,32,1
18.3,33,1
14.9,34,1
16.4,35,1
17.9,36,1
20.3,37,1
24.6,38,1
18,39,1
20,40,1
18.7,41,1
17.2,42,1
16.7,43,1
18.3,44,1
19,45,1
21.4,46,1
22.4,47,1
20.1,48,1
17.8,49,1
18.6,50,1
19.5,51,1
19.4,52,1
20.2,53,1
19.4,54,1
19,55,1
18.6,56,1
24.9,57,1
18.9,58,1
18.9,59,1
21.6,60,1
18.75,0,1
8.2,1,2
3.2,3,2
2.4,4,2
12.2,5,2
6.9,6,2
11,7,2
12.3,8,2
13.8,9,2
5,10,2
11.1,11,2
13.1,12,2
21.8,13,2
11.8,14,2
12.8,15,2
21.4,16,2
23,17,2
10.1,18,2
7.4,19,2
11.1,20,2
17.5,21,2
13.3,22,2
10.3,23,2
13.5,24,2
14.3,25,2
19.1,26,2
11.4,27,2
10.6,28,2
19.9,29,2
20.1,30,2
21.8,31,2
15.4,32,2
14.6,33,2
14.4,34,2
15.9,35,2
17.4,36,2
19.8,37,2
24,38,2
13.3,39,2
15.4,40,2
14.1,41,2
16.7,42,2
16.2,43,2
17.7,44,2
18.5,45,2
20.9,46,2
21.9,47,2
15.5,48,2
13.2,49,2
14,50,2
14.9,51,2
14.8,52,2
16.7,53,2
17,54,2
17.5,55,2
18,56,2
24.4,57,2
14.2,58,2
14.2,59,2
17,60,2
14.1,0,2
7.4,1,3
3,2,3
3.1,4,3
12.9,5,3
7,6,3
11.8,7,3
13,8,3
14.6,9,3
5.7,10,3
11.8,11,3
13.9,12,3
22.5,13,3
12.6,14,3
13.6,15,3
22.2,16,3
23.8,17,3
10.8,18,3
8.2,19,3
11.9,20,3
18.3,21,3
14,22,3
11.1,23,3
14.2,24,3
15.1,25,3
19.9,26,3
12.1,27,3
11.4,28,3
20.6,29,3
20.9,30,3
22.5,31,3
16.1,32,3
15.4,33,3
15.2,34,3
16.6,35,3
18.2,36,3
20.6,37,3
24.8,38,3
14.1,39,3
16.1,40,3
14.8,41,3
17.4,42,3
16.9,43,3
18.5,44,3
19.2,45,3
21.7,46,3
22.6,47,3
16.2,48,3
13.9,49,3
14.8,50,3
15.6,51,3
15.6,52,3
17.5,53,3
17.7,54,3
18.2,55,3
18.8,56,3
25.1,57,3
15,58,3
15,59,3
17.7,60,3
14.9,0,3
17.2,1,4
11.7,2,4
13.7,3,4
20.3,5,4
15.7,6,4
19.2,7,4
20.4,8,4
22,9,4
13.8,10,4
19.2,11,4
21.3,12,4
29.2,13,4
20,14,4
21,15,4
28.6,16,4
30.2,17,4
17.4,18,4
14.1,19,4
19.3,20,4
25.6,21,4
20,22,4
17.1,23,4
21.7,24,4
22.4,25,4
26.3,26,4
18.1,27,4
17.3,28,4
28,29,4
28.1,30,4
28.9,31,4
22.1,32,4
21.4,33,4
22.6,34,4
24,35,4
25.6,36,4
28,37,4
31.2,38,4
