travel_time_min,origin_id,dest_id
20.1,39,4
22.1,40,4
20.8,41,4
24.8,42,4
24.3,43,4
25.9,44,4
26.6,45,4
29.1,46,4
30,47,4
22.2,48,4
19.9,49,4
20.7,50,4
21.6,51,4
21.5,52,4
23.4,53,4
23.7,54,4
24.5,55,4
26.2,56,4
32.5,57,4
21,58,4
21,59,4
23.7,60,4
20.85,0,4
12,1,5
11.9,2,5
12.1,3,5
10.2,4,5
9,6,5
3.7,7,5
5.4,8,5
6.5,9,5
7.7,10,5
7.5,11,5
8.5,12,5
12,13,5
8.2,14,5
9.2,15,5
15.9,16,5
17.5,17,5
12.3,18,5
10.5,19,5
7.5,20,5
13.9,21,5
16.3,22,5
13,23,5
9.9,24,5
10.8,25,5
12.7,26,5
14.4,27,5
13.6,28,5
15.9,29,5
14.5,30,5
16.2,31,5
17.7,32,5
16.7,33,5
10.9,34,5
12.3,35,5
13.8,36,5
15.2,37,5
18.5,38,5
16.3,39,5
18.5,40,5
17.1,41,5
13.1,42,5
12.6,43,5
14.2,44,5
14.9,45,5
17.3,46,5
18.3,47,5
18.6,48,5
16.3,49,5
17.1,50,5
17.9,51,5
16.8,52,5
16.1,53,5
15.3,54,5
14.9,55,5
14.5,56,5
20.8,57,5
17.3,58,5
17.3,59,5
20.1,60,5
17.200000000000003,0,5
8.5,1,6
6.9,2,6
7,3,6
5.2,4,6
9.2,5,6
8.1,7,6
9.3,8,6
10.9,9,6
3.4,10,6
8.1,11,6
10.2,12,6
18.8,13,6
8.9,14,6
9.9,15,6
18.5,16,6
20.1,17,6
8.6,18,6
6.8,19,6
8.2,20,6
14.6,21,6
12.7,22,6
9.8,23,6
10.6,24,6
11.4,25,6
16.2,26,6
10.8,27,6
10,28,6
16.9,29,6
17.2,30,6
18.8,31,6
14.8,32,6
13.8,33,6
11.5,34,6
12.9,35,6
14.5,36,6
16.9,37,6
21.1,38,6
12.8,39,6
14.8,40,6
13.5,41,6
13.7,42,6
13.2,43,6
14.8,44,6
15.5,45,6
18,46,6
18.9,47,6
14.9,48,6
12.6,49,6
13.4,50,6
14.3,51,6
14.2,52,6
15.8,53,6
15,54,6
15.3,55,6
15.1,56,6
21.4,57,6
13.6,58,6
13.7,59,6
16.4,60,6
13.5,0,6
10.9,1,7
10.8,2,7
11,3,7
9.1,4,7
3.7,5,7
7.8,6,7
3.2,8,7
5.6,9,7
6.6,10,7
5.1,11,7
6.6,12,7
13.4,13,7
5.9,14,7
6.8,15,7
16.2,16,7
17.8,17,7
11.1,18,7
9.4,19,7
6.4,20,7
12.6,21,7
15.2,22,7
11.9,23,7
8.8,24,7
9.4,25,7
13.9,26,7
13.2,27,7
12.4,28,7
15.2,29,7
15.4,30,7
16.5,31,7
16.6,32,7
15.6,33,7
9.7,34,7
11.2,35,7
12.7,36,7
15.1,37,7
18.8,38,7
15.2,39,7
17.4,40,7
16,41,7
12,42,7
11.5,43,7
13,44,7
13.8,45,7
16.2,46,7
17.2,47,7
17.4,48,7
15.2,49,7
16,50,7
16.8,51,7
15.7,52,7
15,53,7
14.1,54,7
13.8,55,7
13.4,56,7
19.7,57,7
16.2,58,7
16.2,59,7
19,60,7
16.1,0,7
12.1,1,8
12,2,8
12.3,3,8
10.4,4,8
5.5,5,8
9.1,6,8
3.3,7,8
3.3,9,8
7.9,10,8
3.7,11,8
4.4,12,8
11.2,13,8
5.2,14,8
5.4,15,8
15.1,16,8
16.7,17,8
12.4,18,8
10.6,19,8
7.7,20,8
11.4,21,8
15.9,22,8
11.3,23,8
8.1,24,8
8.7,25,8
11.9,26,8
12.7,27,8
11.9,28,8
14.3,29,8
13.7,30,8
15.4,31,8
16.4,32,8
15.4,33,8
9.9,34,8
11.4,35,8
12.5,36,8
14.5,37,8
17.7,38,8
14.6,39,8
18.1,40,8
16.7,41,8
12.2,42,8
11.7,43,8
13.3,44,8
14,45,8
16.4,46,8
17.4,47,8
17.6,48,8
15.1,49,8
16.7,50,8
17.2,51,8
15.9,52,8
15.2,53,8
14.4,54,8
14,55,8
13.6,56,8
19.9,57,8
16.9,58,8
16.8,59,8
19.5,60,8
16.799999999999997,0,8
13.6,1,9
13.4,2,9
13.7,3,9
11.8,4,9
6.5,5,9
10.5,6,9
5.6,7,9
3.3,8,9
9.3,10,9
3.9,11,9
4.7,12,9
10.3,13,9
6.6,14,9
5.6,15,9
14.2,16,9
15.8,17,9
13.8,18,9
12.1,19,9
9.1,20,9
10.7,21,9
17.4,22,9
12.8,23,9
9.5,24,9
9.6,25,9
11,26,9
14.1,27,9
13.3,28,9
13.7,29,9
12.8,30,9
14.5,31,9
17.8,32,9
16.8,33,9
11.4,34,9
12.8,35,9
12.7,36,9
13.5,37,9
16.8,38,9
16.1,39,9
19.5,40,9
18.2,41,9
13.6,42,9
13.1,43,9
14.7,44,9
14.9,45,9
17.1,46,9
17.5,47,9
19,48,9
16.6,49,9
18.1,50,9
18.6,51,9
17.3,52,9
16.6,53,9
15.8,54,9
15.4,55,9
15,56,9
19.3,57,9
18.4,58,9
18.2,59,9
21,60,9
18.25,0,9
9.3,1,10
4.9,2,10
5.6,3,10
3.3,4,10
7.2,5,10
3.6,6,10
6.1,7,10
7.3,8,10
8.9,9,10
6.1,11,10
8.2,12,10
16.8,13,10
6.9,14,10
7.8,15,10
16.5,16,10
18.1,17,10
5.1,18,10
3.4,19,10
6.1,20,10
12.6,21,10
9.2,22,10
6.3,23,10
8.5,24,10
9.4,25,10
14.2,26,10
7.4,27,10
6.6,28,10
14.9,29,10
15.2,30,10
16.8,31,10
11.3,32,10
10.6,33,10
9.5,34,10
10.9,35,10
12.5,36,10
14.9,37,10
19.1,38,10
9.3,39,10
11.4,40,10
10,41,10
11.7,42,10
11.2,43,10
12.8,44,10
13.5,45,10
16,46,10
16.9,47,10
11.4,48,10
9.2,49,10
10,50,10
10.8,51,10
10.8,52,10
12.7,53,10
12.2,54,10
12.5,55,10
13.1,56,10
19.4,57,10
10.2,58,10
10.2,59,10
13,60,10
10.1,0,10
10.7,1,11
10.5,2,11
10.8,3,11
8.9,4,11
7.1,5,11
7.6,6,11
4.8,7,11
3.8,8,11
4,9,11
6.4,10,11
2.3,12,11
13.1,13,11
3,14,11
3.3,15,11
13.4,16,11
14.9,17,11
10.9,18,11
9.2,19,11
6,20,11
9.3,21,11
13.8,22,11
9.2,23,11
5.9,24,11
6.5,25,11
11.1,26,11
10.5,27,11
9.8,28,11
12.2,29,11
12.9,30,11
13.7,31,11
14.2,32,11
13.2,33,11
7.8,34,11
9.2,35,11
10.4,36,11
13.2,37,11
16,38,11
12.5,39,11
15.9,40,11
14.6,41,11
10,42,11
9.5,43,11
11.1,44,11
11.9,45,11
14.3,46,11
15.3,47,11
15.4,48,11
13,49,11
14.5,50,11
15,51,11
13.7,52,11
13,53,11
12.2,54,11
11.8,55,11
11.4,56,11
17.7,57,11
14.8,58,11
14.6,59,11
17.4,60,11
14.65,0,11
12.8,1,12
12.7,2,12
13,3,12
11.1,4,12
9,5,12
9.8,6,12
6.8,7,12
4.5,8,12
4.6,9,12
8.6,10,12
2.4,11,12
13.2,13,12
4.3,14,12
3.2,15,12
14.6,16,12
16.2,17,12
13.1,18,12
10.9,19,12
7.2,20,12
9.2,21,12
15,22,12
10.4,23,12
7.2,24,12
7.2,25,12
11.5,26,12
11.8,27,12
11,28,12
12.1,29,12
13.4,30,12
14.9,31,12
15.4,32,12
14.4,33,12
9,34,12
10.5,35,12
10.3,36,12
13.7,37,12
17.2,38,12
13.7,39,12
17.2,40,12
15.8,41,12
11.3,42,12
10.8,43,12
12.3,44,12
13,45,12
15.5,46,12
16.5,47,12
16.7,48,12
14.2,49,12
15.8,50,12
16.3,51,12
15,52,12
14.3,53,12
13.4,54,12
13.1,55,12
12.7,56,12
19,57,12
16,58,12
15.8,59,12
18.6,60,12
15.9,0,12
21.1,1,13
20.7,2,13
21.2,3,13
19.1,4,13
12.2,5,13
18,6,13
13.6,7,13
11.3,8,13
10.6,9,13
16.8,10,13
12.3,11,13
12.9,12,13
11.8,14,13
10.5,15,13
13.6,16,13
15.1,17,13
18.2,18,13
14.8,19,13
11.8,20,13
12,21,13
18.9,22,13
14.3,23,13
11.8,24,13
12.3,25,13
10.4,26,13
15.6,27,13
14.8,28,13
13.6,29,13
12.2,30,13
13.9,31,13
19.3,32,13
18.3,33,13
13.5,34,13
14.9,35,13
13.8,36,13
12.9,37,13
16.2,38,13
17.6,39,13
21,40,13
19.7,41,13
15.7,42,13
15.2,43,13
15,44,13
14.2,45,13
16.4,46,13
16.9,47,13
20.5,48,13
18.1,49,13
19.6,50,13
20.5,51,13
19.4,52,13
18.7,53,13
17.9,54,13
17.3,55,13
16.3,56,13
18.7,57,13
19.9,58,13
19.9,59,13
22.6,60,13
19.75,0,13
11,1,14
10.9,2,14
11.2,3,14
9.3,4,14
7.5,5,14
8,6,14
5.1,7,14
4.6,8,14
6.1,9,14
6.8,10,14
2.4,11,14
3.6,12,14
12,13,14
2,15,14
11.4,16,14
12.9,17,14
11.1,18,14
7.7,19,14
4,20,14
7.8,21,14
11.8,22,14
7.2,23,14
3.9,24,14
4.5,25,14
9.1,26,14
8.5,27,14
7.8,28,14
10.8,29,14
10.9,30,14
11.7,31,14
12.2,32,14
11.2,33,14
5.8,34,14
7.2,35,14
8.8,36,14
11.2,37,14
14,38,14
10.5,39,14
13.9,40,14
12.6,41,14
8,42,14
7.5,43,14
9.1,44,14
9.9,45,14
12.3,46,14
13.2,47,14
13.4,48,14
11,49,14
12.5,50,14
13,51,14
11.7,52,14
11,53,14
10.2,54,14
9.8,55,14
9.4,56,14
15.7,57,14
12.8,58,14
12.6,59,14
15.4,60,14
12.65,0,14
12.4,1,15
12.3,2,15
12.5,3,15
10.7,4,15
8.9,5,15
9.4,6,15
6.5,7,15
5.6,8,15
5.8,9,15
8.1,10,15
3.4,11,15
3.2,12,15
10.8,13,15
2.6,14,15
11.9,16,15
13.4,17,15
11.6,18,15
8.2,19,15
4.6,20,15
6.7,21,15
12.3,22,15
7.7,23,15
4.5,24,15
4.7,25,15
9.2,26,15
9.1,27,15
8.3,28,15
9.7,29,15
11,30,15
12.2,31,15
12.7,32,15
11.7,33,15
6.3,34,15
7.7,35,15
7.8,36,15
11.3,37,15
14.5,38,15
11,39,15
14.4,40,15
13.1,41,15
8.5,42,15
8.1,43,15
9.6,44,15
10.4,45,15
12.8,46,15
13.8,47,15
13.9,48,15
11.5,49,15
13,50,15
13.5,51,15
12.2,52,15
11.5,53,15
10.7,54,15
10.3,55,15
9.9,56,15
16.2,57,15
13.3,58,15
13.1,59,15
15.9,60,15
13.15,0,15
21.2,1,16
20.8,2,16
21.3,3,16
19.2,4,16
15.7,5,16
18.1,6,16
15.8,7,16
14.9,8,16
14.2,9,16
16.9,10,16
13,11,16
14.3,12,16
13.5,13,16
11.9,14,16
11.7,15,16
3.2,17,16
18.3,18,16
14.9,19,16
11.9,20,16
12.2,21,16
19,22,16
14.4,23,16
11.8,24,16
12.4,25,16
7.8,26,16
15.7,27,16
14.9,28,16
9.4,29,16
7.7,30,16
7.9,31,16
19.4,32,16
18.4,33,16
11.7,34,16
10.9,35,16
9.2,36,16
8.1,37,16
10.2,38,16
17.7,39,16
20.2,40,16
18.7,41,16
12.4,42,16
11.6,43,16
10.1,44,16
9.4,45,16
11.3,46,16
10.9,47,16
20.6,48,16
18.2,49,16
17.6,50,16
17,51,16
15.6,52,16
14.7,53,16
13.9,54,16
12.5,55,16
11.5,56,16
12.7,57,16
18.6,58,16
16.3,59,16
19.1,60,16
18.1,0,16
22.9,1,17
22.5,2,17
23,3,17
20.9,4,17
17.5,5,17
19.8,6,17
17.5,7,17
16.6,8,17
15.9,9,17
18.6,10,17
14.8,11,17
16,12,17
15.2,13,17
13.6,14,17
13.4,15,17
3.1,16,17
20,18,17
16.6,19,17
13.7,20,17
13.9,21,17
20.7,22,17
16.1,23,17
13.6,24,17
14.2,25,17
9.5,26,17
17.4,27,17
16.7,28,17
11.1,29,17
9.4,30,17
8.9,31,17
21.1,32,17
20.1,33,17
13.5,34,17
12.6,35,17
10.9,36,17
9.8,37,17
11.9,38,17
19.4,39,17
22,40,17
20.4,41,17
14.2,42,17
13.3,43,17
11.9,44,17
11.1,45,17
13,46,17
12.6,47,17
22.3,48,17
19.9,49,17
19.3,50,17
18.7,51,17
17.4,52,17
16.4,53,17
15.6,54,17
14.2,55,17
13.2,56,17
14.4,57,17
20.3,58,17
18,59,17
20.8,60,17
19.8,0,17
13.6,1,18
9.6,2,18
10.2,3,18
7.9,4,18
11.5,5,18
8.6,6,18
10.4,7,18
11.6,8,18
13.2,9,18
5,10,18
10.4,11,18
12.5,12,18
19.1,13,18
11.2,14,18
12,15,18
18.5,16,18
20,17,18
4.1,19,18
10.5,20,18
15.5,21,18
10.6,22,18
7,23,18
11.6,24,18
12.2,25,18
16.2,26,18
3.3,27,18
5.2,28,18
18,29,18
18,30,18
18.8,31,18
10.4,32,18
11.3,33,18
12.5,34,18
13.9,35,18
15.5,36,18
17.9,37,18
21.1,38,18
6.7,39,18
12.2,40,18
11.4,41,18
14.7,42,18
14.2,43,18
15.8,44,18
16.6,45,18
19,46,18
19.9,47,18
9.6,48,18
7.1,49,18
11.5,50,18
12.4,51,18
12.3,52,18
14.2,53,18
14.5,54,18
15.1,55,18
16.1,56,18
22.4,57,18
11.7,58,18
11.8,59,18
14.5,60,18
11.6,0,18
17.5,1,19
13.4,2,19
14.1,3,19
11.8,4,19
14,5,19
13.2,6,19
12.8,7,19
12.5,8,19
14,9,19
9.7,10,19
10.3,11,19
11.5,12,19
16,13,19
9.1,14,19
8.9,15,19
15.3,16,19
16.9,17,19
7.4,18,19
8.3,20,19
12.3,21,19
6.7,22,19
6.1,23,19
8.4,24,19
9.1,25,19
13,26,19
4.8,27,19
4,28,19
14.8,29,19
14.8,30,19
15.6,31,19
8.8,32,19
9.7,33,19
9.4,34,19
10.8,35,19
12.3,36,19
14.7,37,19
17.9,38,19
6.8,39,19
8.8,40,19
7.5,41,19
11.6,42,19
11.1,43,19
12.7,44,19
13.4,45,19
15.8,46,19
16.8,47,19
8.9,48,19
6.6,49,19
7.5,50,19
8.3,51,19
8.2,52,19
10.2,53,19
10.4,54,19
11.7,55,19
13,56,19
19.3,57,19
7.7,58,19
7.7,59,19
10.4,60,19
7.6,0,19
11.1,1,20
11,2,20
11.2,3,20
9.3,4,20
7.5,5,20
8,6,20
6.4,7,20
7.5,8,20
9,9,20
6.8,10,20
5.9,11,20
7.2,12,20
12.7,13,20
3.7,14,20
4.6,15,20
12.1,16,20
13.6,17,20
11.1,18,20
7.7,19,20
8.2,21,20
11.8,22,20
7.2,23,20
4.1,24,20
5,25,20
9.8,26,20
8.6,27,20
7.8,28,20
10.5,29,20
10.7,30,20
12.4,31,20
12.2,32,20
11.2,33,20
5.1,34,20
6.5,35,20
8.1,36,20
10.5,37,20
14.7,38,20
10.5,39,20
13.9,40,20
12.6,41,20
7.3,42,20
6.8,43,20
8.4,44,20
9.1,45,20
11.6,46,20
12.5,47,20
13.4,48,20
11,49,20
12.6,50,20
12.3,51,20
11,52,20
10.3,53,20
9.5,54,20
9.1,55,20
8.7,56,20
15,57,20
12.8,58,20
11.9,59,20
14.7,60,20
12.7,0,20
17.2,1,21
17.1,2,21
17.4,3,21
15.5,4,21
13.7,5,21
14.2,6,21
12.2,7,21
11.3,8,21
10.8,9,21
13,10,21
9.1,11,21
8.9,12,21
12.3,13,21
8.2,14,21
6.5,15,21
12.3,16,21
13.9,17,21
15.4,18,21
12,19,21
8,20,21
16.1,22,21
11.5,23,21
5.5,24,21
4.2,25,21
7.2,26,21
12.8,27,21
12.1,28,21
6.4,29,21
8.9,30,21
13.8,31,21
16.5,32,21
15.5,33,21
7.2,34,21
8,35,21
7.3,36,21
9.2,37,21
15,38,21
14.8,39,21
17.8,40,21
16.2,41,21
9.5,42,21
9,43,21
9.8,44,21
9.9,45,21
11.9,46,21
13.1,47,21
17.7,48,21
15.3,49,21
15.1,50,21
14.5,51,21
13.2,52,21
12.5,53,21
11.6,54,21
11.3,55,21
10.9,56,21
16.3,57,21
16.1,58,21
14,59,21
16.8,60,21
15.600000000000001,0,21
11.5,1,22
6.7,2,22
7.4,3,22
5.1,4,22
9.5,5,22
6.6,6,22
8.3,7,22
9.6,8,22
11.1,9,22
3,10,22
8.4,11,22
10.4,12,22
19.1,13,22
9.1,14,22
10.1,15,22
18.7,16,22
20.3,17,22
7.2,18,22
5.5,19,22
8.4,20,22
14.8,21,22
8.4,23,22
10.8,24,22
11.6,25,22
16.4,26,22
9.5,27,22
8.7,28,22
17.2,29,22
17.4,30,22
19.1,31,22
13.4,32,22
12.7,33,22
11.7,34,22
13.2,35,22
14.7,36,22
17.1,37,22
21.3,38,22
11.4,39,22
13.5,40,22
12.1,41,22
14,42,22
13.5,43,22
15,44,22
15.8,45,22
18.2,46,22
19.2,47,22
13.5,48,22
11.3,49,22
12.1,50,22
12.9,51,22
12.9,52,22
14.8,53,22
14.5,54,22
14.8,55,22
15.3,56,22
21.7,57,22
12.3,58,22
12.3,59,22
15.1,60,22
12.2,0,22
14.1,1,23
9.3,2,23
10,3,23
7.7,4,23
12.1,5,23
9.1,6,23
10.9,7,23
11,8,23
12.6,9,23
5.6,10,23
8.8,11,23
10.1,12,23
14.5,13,23
7.7,14,23
7.5,15,23
13.9,16,23
15.5,17,23
6.8,18,23
3.3,19,23
6.8,20,23
10.9,21,23
9.8,22,23
7,24,23
7.7,25,23
11.6,26,23
6.6,27,23
5.8,28,23
13.4,29,23
13.4,30,23
14.2,31,23
6.5,32,23
5.4,33,23
7.9,34,23
9.4,35,23
10.9,36,23
13.3,37,23
16.5,38,23
8.5,39,23
10.4,40,23
8.2,41,23
10.2,42,23
9.7,43,23
11.2,44,23
12,45,23
14.4,46,23
15.4,47,23
11.5,48,23
9,49,23
10,50,23
10.6,51,23
9.5,52,23
10.1,53,23
9.3,54,23
9.6,55,23
11.5,56,23
17.9,57,23
10.8,58,23
10.8,59,23
13.6,60,23
10.4,0,23
13.2,1,24
13.1,2,24
13.4,3,24
11.5,4,24
9.7,5,24
10.2,6,24
8.6,7,24
8.1,8,24
9.6,9,24
9,10,24
5.9,11,24
7.1,12,24
12.2,13,24
4.7,14,24
4.5,15,24
11.5,16,24
13.1,17,24
11.6,18,24
8.2,19,24
4,20,24
5.6,21,24
12.3,22,24
7.7,23,24
2.4,25,24
9.2,26,24
9,27,24
8.3,28,24
8.6,29,24
9.2,30,24
11.9,31,24
12.7,32,24
11.7,33,24
3.5,34,24
4.9,35,24
6.5,36,24
8.9,37,24
14.1,38,24
11,39,24
14,40,24
12.5,41,24
5.7,42,24
5.3,43,24
6.8,44,24
7.6,45,24
10,46,24
11,47,24
13.9,48,24
11.5,49,24
11.4,50,24
10.7,51,24
9.4,52,24
8.7,53,24
7.9,54,24
7.5,55,24
7.1,56,24
13.4,57,24
12.4,58,24
10.3,59,24
13.1,60,24
11.9,0,24
14.2,1,25
14.1,2,25
14.3,3,25
12.4,4,25
10.6,5,25
11.1,6,25
9.1,7,25
8.5,8,25
9.7,9,25
9.9,10,25
6.3,11,25
7.1,12,25
12.6,13,25
5.1,14,25
4.8,15,25
12,16,25
13.5,17,25
12.3,18,25
8.9,19,25
4.9,20,25
4.3,21,25
13,22,25
8.4,23,25
2.4,24,25
8.1,26,25
9.7,27,25
9,28,25
7.3,29,25
8.2,30,25
12.3,31,25
13.4,32,25
12.4,33,25
4.2,34,25
4.5,35,25
5,36,25
8.5,37,25
14.3,38,25
11.7,39,25
14.7,40,25
13.1,41,25
6.4,42,25
5.9,43,25
7,44,25
7.8,45,25
10.5,46,25
11.5,47,25
14.6,48,25
12.2,49,25
12.1,50,25
11.4,51,25
10.1,52,25
9.4,53,25
8.6,54,25
8.2,55,25
7.8,56,25
14,57,25
13.1,58,25
11,59,25
13.8,60,25
12.6,0,25
19,1,26
18.7,2,26
19.2,3,26
17,4,26
12.7,5,26
16,6,26
13.7,7,26
11.9,8,26
11.1,9,26
14.8,10,26
10.9,11,26
11.6,12,26
10.5,13,26
9.7,14,26
9.2,15,26
7.8,16,26
9.4,17,26
16.2,18,26
12.8,19,26
9.8,20,26
7.2,21,26
15.8,22,26
12.2,23,26
9.5,24,26
8.2,25,26
13.6,27,26
12.8,28,26
4.2,29,26
2.7,30,26
7.6,31,26
17.3,32,26
14.6,33,26
6.9,34,26
6.1,35,26
4.4,36,26
3.5,37,26
8.7,38,26
15.6,39,26
15.4,40,26
13.9,41,26
7.7,42,26
7,43,26
5.6,44,26
4.8,45,26
7,46,26
8.2,47,26
16.8,48,26
14.5,49,26
12.8,50,26
12.2,51,26
10.8,52,26
10.1,53,26
9.3,54,26
7.9,55,26
6.9,56,26
11.4,57,26
13.8,58,26
11.7,59,26
14.5,60,26
13.3,0,26
16,1,27
11.9,2,27
12.6,3,27
10.3,4,27
13.9,5,27
11,6,27
12.8,7,27
12.9,8,27
14.5,9,27
7.4,10,27
10.8,11,27
12,12,27
16.4,13,27
9.6,14,27
9.4,15,27
15.8,16,27
17.4,17,27
3.3,18,27
5.2,19,27
8.7,20,27
12.8,21,27
7.9,22,27
6.6,23,27
8.9,24,27
9.6,25,27
13.5,26,27
2.5,28,27
15.3,29,27
15.3,30,27
16.1,31,27
7.7,32,27
10,33,27
9.8,34,27
11.3,35,27
12.8,36,27
15.2,37,27
18.4,38,27
4.1,39,27
9.5,40,27
8.7,41,27
12.1,42,27
11.6,43,27
13.1,44,27
13.9,45,27
16.3,46,27
17.3,47,27
6.9,48,27
4.5,49,27
9,50,27
9.9,51,27
9.8,52,27
11.8,53,27
12,54,27
12.4,55,27
13.5,56,27
19.8,57,27
9.3,58,27
9.3,59,27
12,60,27
9.15,0,27
15.9,1,28
11.1,2,28
11.8,3,28
9.5,4,28
13.6,5,28
10.9,6,28
12.5,7,28
12.1,8,28
13.7,9,28
7.4,10,28
10,11,28
11.2,12,28
15.6,13,28
8.8,14,28
8.6,15,28
15,16,28
16.6,17,28
4.9,18,28
5.2,19,28
8,20,28
12,21,28
7.6,22,28
5.8,23,28
8.1,24,28
8.8,25,28
12.7,26,28
2.4,27,28
14.5,29,28
14.5,30,28
15.3,31,28
7.8,32,28
9.4,33,28
9,34,28
10.5,35,28
12,36,28
14.4,37,28
17.6,38,28
4.3,39,28
9.7,40,28
8.4,41,28
11.3,42,28
10.8,43,28
12.3,44,28
13.1,45,28
15.5,46,28
16.5,47,28
7.2,48,28
4.8,49,28
8.3,50,28
9.2,51,28
9.1,52,28
11,53,28
11.3,54,28
11.6,55,28
12.7,56,28
19,57,28
8.6,58,28
8.6,59,28
11.3,60,28
8.45,0,28
19.4,1,29
19.3,2,29
19.5,3,29
17.6,4,29
15.8,5,29
16.3,6,29
14.7,7,29
14.5,8,29
13.6,9,29
15.1,10,29
12.3,11,29
12.1,12,29
13.8,13,29
11.4,14,29
9.7,15,29
9.6,16,29
11.2,17,29
17.7,18,29
14.3,19,29
10.2,20,29
6.4,21,29
14.3,22,29
13.7,23,29
8.6,24,29
7.4,25,29
4.1,26,29
15.2,27,29
14.4,28,29
2.5,30,29
8.3,31,29
15.8,32,29
13.1,33,29
5.4,34,29
4.6,35,29
2.9,36,29
4.1,37,29
9.5,38,29
15.5,39,29
13.9,40,29
12.4,41,29
6.1,42,29
5.7,43,29
5.2,44,29
4.8,45,29
6.8,46,29
8,47,29
15.3,48,29
13,49,29
11.3,50,29
10.7,51,29
9.3,52,29
9.1,53,29
8.2,54,29
7.9,55,29
6.9,56,29
11.4,57,29
12.3,58,29
10.6,59,29
13.4,60,29
11.8,0,29
19.6,1,30
19.5,2,30
19.8,3,30
17.9,4,30
14.7,5,30
16.6,6,30
14.9,7,30
13.9,8,30
13.2,9,30
15.3,10,30
12.9,11,30
13.2,12,30
12.5,13,30
11.7,14,30
10.9,15,30
8,16,30
9.6,17,30
17.9,18,30
14.6,19,30
10.4,20,30
8.9,21,30
14.5,22,30
13.9,23,30
8.8,24,30
8.2,25,30
2.8,26,30
15.4,27,30
14.6,28,30
2.5,29,30
6.7,31,30
16,32,30
13.4,33,30
5.7,34,30
4.8,35,30
3.1,36,30
2.8,37,30
7.9,38,30
15.7,39,30
14.2,40,30
12.6,41,30
6.4,42,30
5.9,43,30
4.9,44,30
4.1,45,30
6.3,46,30
7.5,47,30
15.5,48,30
13.2,49,30
