effective_path_id,delays,start_min,end_min,labor_min
src-2-dns-10-7-sink,0,429.4,585.4,72.59999999999991
src-27-dns-20-9-12-sink,1,512.35,727.6,82.85000000000002
src-16-27-7-20-dns-19-dns-4-sink,0,514.0,817.3,107.89999999999998
src-29-dns-27-dns-20-19-sink,1,443.3,667.5,56.60000000000002
src-2-dns-27-dns-20-sink,0,429.4,608.4,38.300000000000004
src-2-8-5-7-20-dns-12-sink,0,459.4,727.6,163.0
src-2-8-27-20-9-12-sink,0,459.4,727.6,268.20000000000005
src-2-6-21-28-9-12-sink,0,459.4,727.6,268.20000000000005
src-6-27-22-7-dns-28-19-sink,0,504.6,667.5,97.89999999999998
src-8-21-22-7-20-28-19-sink,0,495.35,667.5,172.14999999999998
src-1-29-8-27-dns-7-sink,0,431.5,614.6,123.80000000000001
src-29-21-20-9-sink,0,473.3,698.55,225.25
src-2-29-8-dns-22-sink,0,444.2,592.7,54.39999999999998
src-1-16-7-20-dns-19-sink,0,432.8,667.5,181.5
src-6-7-20-28-19-26-sink,0,504.6,781.7,277.1
src-16-5-dns-20-28-4-sink,2,513.5,817.3,150.5
src-27-dns-20-28-19-26-11-sink,3,512.35,836.3,171.64999999999998
src-22-7-sink,0,540.4,592.0,51.60000000000002
src-29-5-22-20-dns-9-sink,0,473.3,698.55,153.05
src-2-16-5-22-20-sink,0,459.4,608.4,149.0
src-29-dns-5-7-dns-9-sink,0,443.3,728.55,69.64999999999998
src-27-7-28-9-4-sink,0,542.35,817.3,274.95000000000005
src-5-20-9-12-14-11-sink,0,548.25,836.3,288.04999999999995
src-2-29-8-16-5-sink,0,456.2,532.55,76.34999999999997
src-16-27-dns-20-12-14-4-sink,1,503.0,817.3,162.0
src-16-21-dns-20-28-19-12-26-sink,3,493.7,781.7,149.40000000000003
src-2-16-5-dns-28-sink,0,459.4,648.2,83.5
src-29-8-21-22-dns-19-12-sink,0,473.3,727.6,125.20000000000005
src-8-5-dns-20-19-sink,1,488.65000000000003,667.5,75.25000000000006
src-27-20-12-dns-4-sink,0,542.35,817.3,188.14999999999998
src-29-16-21-dns-7-28-sink,1,468.5,648.2,111.49999999999994
src-29-5-20-28-19-sink,0,473.3,667.5,194.20000000000005
src-2-dns-22-20-9-12-sink,2,429.4,727.6,103.79999999999995
src-7-28-dns-9-12-26-sink,2,582.45,781.7,114.95000000000005
src-29-dns-10-22-12-sink,2,443.3,727.6,125.29999999999995
src-1-16-5-20-dns-19-sink,0,432.8,667.5,181.5
src-16-27-dns-28-12-4-sink,2,503.0,817.3,120.0
src-29-dns-10-7-sink,0,443.3,585.4,72.09999999999991
